"FNO","NAME","TYPE","PHONE","ADDRESS","SCORE","THEME","POSTER","IMAGES","TIME","PARKING","CONTENT","HIT","PRICE","JJIMCOUNT","REPLYCOUNT","LIKECOUNT","RDAYS"
16,"콩밭","한식-삼겹살","(041) 523-3153","충남 천안시 서북구 쌍용2동 677",4.4,"가족외식 , 어른과 함께라면 , 술 못마시는 친구와 함께 , 전통 한국 음식(for 외국인) , 일상데이트 , 점심식사 , 삼겹살 , 국물요리 , 웰빙/건강식","/restaurant/restimg/000/zzmenuimg/h3025106_z.jpg","/restaurant/restimg/000/menuimg/h3025106.jpg,/restaurant/restimg/000/menuimg/h30251031.jpg,/restaurant/restimg/000/menuimg/h30251032.jpg,/restaurant/restimg/000/menuimg/h3025101.jpg,/restaurant/restimg/000/menuimg/h3025102.jpg,/restaurant/restimg/000/menuimg/h3025103.jpg,/restaurant/restimg/000/h302510a.jpg","10:00 ~ 22:00","5대, 주차방법: 무료, 주차장소: 업소앞","천안 쌍용동에 위치한 토속음식점 '콩밭'을 소개한다. 우리 콩을 사용하여 만든 재래식 된장과 고추장 그리고 콩으로 만든 다양한 요리를 맛볼 수 있는 곳이다. 청국장과 된장찌개 등 구수한 백반뿐 아니라 직접 만든 된장에 찍어 먹는 생삼겹살까지, 건강하고 맛있는 음식들을 즐길 수 있다. 어머니가 해주신 것 같은 고사리 무침, 삼겹살에 싸먹으면 더욱 맛있는 명이나물도 직접 담근 간장과 된장을 사용하여 정성스럽게 만들어졌다. 집밥이 그리워질 때, 쌍용동의 콩밭에서 든든한 식사 한 끼를 추천한다.",6,"10,000 ~ 20,000원",0,0,0,12510121719252629
17,"바로이집","한식","(054) 783-6332","경북 울진군 근남면 노음1리 329-8",3.3,"가족외식 , 아이와 함께라면 , 더운날 , 야외테라스 , 소주 , 국물요리 , 한식 면요리","/restaurant/restimg/007/zzmenuimg/h7021874_z.jpg","/restaurant/restimg/007/menuimg/h7021874.jpg,/restaurant/restimg/007/menuimg/h7021875.jpg,/restaurant/restimg/007/menuimg/h7021876.jpg,/restaurant/restimg/007/menuimg/h7021871.jpg,/restaurant/restimg/007/menuimg/h7021872.jpg,/restaurant/restimg/007/menuimg/h7021873.jpg,/restaurant/restimg/007/h702187a.jpg","11:00 ~ 20:00","50대, 주차방법: 무료, 주차장소: 업소앞","바로이집은 원목으로 꾸며진 고풍스러운 실내 인테리어는 물론 야외 데크도 준비되어 있어 탁 트인 경관과 함께 식사를 즐길 수 있는 곳이다. 담백한 육수가 일품인 칼국수는 별미 보리밥과 젓갈로 담은 생채무침이 같이 제공된다. 특히 생채무침에 사용되는 젓갈은 맥아리(청어와 비슷)로 담가 그 감칠맛에 맛보는 이마다 칭찬 일색이다. 또한 여름에는 더위를 식혀주는 막국수도 준비되어 있어 인근 직장인과 지역주민들이 자주 찾는다.",0,"",0,0,0,13456781117182325262728293031
18,"내집식당","한식-일반한식","(042) 223-5083","대전 중구 대흥동 409-7",3.9,"술 마시는 친구와 함께 , 비오는날 , 소주 , 국물요리 , 두부요리 , 대전한밭야구장","/restaurant/restimg/003/zzmenuimg/h3022134_z.jpg","/restaurant/restimg/003/menuimg/h3022134.jpg,/restaurant/restimg/003/menuimg/h3022139.jpg,/restaurant/restimg/003/menuimg/h30221314.jpg,/restaurant/restimg/003/menuimg/h3022131.jpg,/restaurant/restimg/003/menuimg/h3022132.jpg,/restaurant/restimg/003/menuimg/h3022133.jpg,/restaurant/restimg/003/h302213a.jpg","11:30 ~ 21:30","4대, 주차방법: 무료, 주차장소: 업소앞","대전 중구 대흥동에 위치한 올갱이국을 파는 대전맛집 내집. 올갱이를 갈아 만든 육수에 토종된장을 풀고 아욱만 넣고 끊인 올갱이해장국으로 전국적으로 소문난 집이다. 가격까지 저렴해서 식사시간에는 북새통을 이루며, 국물 맛이 구수하면서 담백해 속을 달래준다. 이곳의 또다른 대표메뉴는 두부이다. 직접 손으로 만든다는 아주 심심한 순수한 맛의 백두부와 그리고 정반대로 아주 매운 두부가 고소하고 담백하며 점심에는 두부가 서비스이다. 넉넉한 인심과 재미난 주인장의 손맛을 느끼고 싶다면 내집을 방문해보자.",0,"5,000 ~ 10,000원",0,0,0,14511121617192022232526282931
19,"단양한우명가","한식-갈비","(043) 423-8292","충북 단양군 단양읍 상진리 758",4.5,"가족외식 , 어른과 함께라면 , 술 마시는 친구와 함께 , 구이 , 한우전문점 , 소주 , 고기 보양식","/restaurant/restimg/007/zzmenuimg/h3021474_z.jpg","/restaurant/restimg/007/menuimg/h3021474.jpg,/restaurant/restimg/007/menuimg/h3021475.jpg,/restaurant/restimg/007/menuimg/h30214711.jpg,/restaurant/restimg/007/menuimg/h3021471.jpg,/restaurant/restimg/007/menuimg/h3021472.jpg,/restaurant/restimg/007/menuimg/h3021473.jpg,/restaurant/restimg/007/h302147a.jpg","11:00 ~ 21:00 식당 17:00∼21:00 정육점 11:00∼21:00","4대, 주차방법: 무료, 주차장소: 업소앞","안심식당은 '덜어먹기 가능한 도구 비치・제공', '위생적 수저관리' , '종사자마스크 착용'을 준수하는 곳으로 소재지 지자체의 인증을 받은 음식점 입니다.",0,"",0,0,0,47910111415161722232426273031
20,"노들직녀카페","카페/주점-카페","(02) 796-2004","서울 용산구 이촌동 376 3층",3.4,"일상데이트 , 비오는날 , 전망 좋은 곳 , 드라이브 , 체험카페 , 맥주 , 빙수 , 베이커리","/restaurant/restimg/004/zzmenuimg/d10283410_z.jpg","/restaurant/restimg/004/menuimg/d10283410.jpg,/restaurant/restimg/004/menuimg/d10283417.jpg,/restaurant/restimg/004/menuimg/d10283434.jpg,/restaurant/restimg/004/menuimg/d1028341.jpg,/restaurant/restimg/004/menuimg/d1028342.jpg,/restaurant/restimg/004/menuimg/d1028343.jpg,/restaurant/restimg/004/d102834a.jpg","12:00 ~ 01:00","3대, 주차방법: 무료, 주차장소: 업소앞","'한강대교 위 전망 카페로 유명한 노들 직녀 카페를 소개한다. 한강대교 위에 있어서 이촌 한강 공원과 연계 이용이 가능한 데이트 장소의 메카인 곳이다. 넓고 깔끔한 분위기의 내부와 탁 트인 전망을 볼 수 있어서 상쾌하면서 편안한 기분을 들게 해준다. 깔끔하면서 시원한 옛날 빙수와 달콤한 카페모카는 여성 고객들이 좋아하는 인기 있는 메뉴이다. 상큼하면서 향긋한 레몬에이드는 새콤한 맛이 일품이다. 친절한 서비스와 건너편에는 노들 견우 카페가 있어서 오작교가 형성되는 모습의 테마도 재미를 선사한다.",1,"5,000 ~ 10,000원",0,0,0,2678910111214151618192122232425
22,"대가볼태기","한식-해물요리","(02) 2612-7404","경기 광명시 철산동 400",3.8,"가족외식 , 어른과 함께라면 , 술 마시는 친구와 함께 , 전통 한국 음식(for 외국인) , 24시간 맛집 , 닭볶음탕 , 소주 , 국물요리 , 매운음식 , 웰빙/건강식","/restaurant/restimg/003/zzmenuimg/h4932734_z.jpg","/restaurant/restimg/003/menuimg/h4932734.jpg,/restaurant/restimg/003/menuimg/h4932737.jpg,/restaurant/restimg/003/menuimg/h49327317.jpg,/restaurant/restimg/003/menuimg/h4932731.jpg,/restaurant/restimg/003/menuimg/h4932732.jpg,/restaurant/restimg/003/menuimg/h4932733.jpg,/restaurant/restimg/003/h493273a.jpg","00:00 ~ 24:00","6대, 주차방법: 무료, 주차장소: 업소앞","철산 상업지구에 위치한 20여년 역사 맑은 대구탕의 원조 '대가 볼태기'를 소개한다. 2004년 SBS '해결, 돈이 보인다'에 대박집으로 소개되어 매장의 비법과 영업 노하우를 어려운 이웃에게 지원했던 곳이다. 시원하고 깨끗한 맑은 국물의 대구 볼태기탕은 가족단위에게 추천하며 매콤하고 말끔한 식사겸 안주인 대구 볼태기찜, 그리고 숙취해소에 제격인 개운하고 깔끔한 대구 해장국이 이집의 인기 메뉴이다. 뉴질랜드 청정 해역에서 잡은 깨끗한 민대구를 사용하여 특급 레시피로 깔끔하고 개운하게 맛을 낸 대구요리의 끝판왕을 맛보자.",0,"30,000 ~ 50,000원",0,0,0,14568121315161819212324282930
23,"한국순대 본점","한식","(02) 573-3555","서울 서초구 양재동 5-22",4.1,"어른과 함께라면 , 술 마시는 친구와 함께 , 술 못마시는 친구와 함께 , 일상데이트 , 점심식사 , 몸보신","/restaurant/restimg/000/zzmenuimg/h1206405_z.jpg","/restaurant/restimg/000/menuimg/h1206405.jpg,/restaurant/restimg/000/menuimg/h1206409.jpg,/restaurant/restimg/000/menuimg/h12064013.jpg,/restaurant/restimg/000/menuimg/h1206401.jpg,/restaurant/restimg/000/menuimg/h1206402.jpg,/restaurant/restimg/000/menuimg/h1206403.jpg,/restaurant/restimg/000/h120640a.jpg","00:00 ~ 24:00","주차안됨","얼큰한 순댓국과 24시간 연중무휴로 열려있는 순대 맛집 ‘한국순대 본점’ 얼큰한 순댓국과 푸짐한 양의 순대를 판매하고있다. 소박한 반찬이지만 직접 만들어 보다 더 건강하고 맛있다. 건더기의 양도 많아 한 끼 식사 이상으로도 든든하고 맛도있으니 인기가 많기도 하고 24시간 연중무휴다보니 유명인사들도 많이 찾아간다. 얼큰한 순댓국이 생각날 때 아니면 야근하거나 자기 전 뭔가 든든하게 먹고 싶을 때 이곳을 방문해보는 건 어떨까",0,"5,000 ~ 10,000원",0,0,0,1256712151617192022232425262931
24,"장수생고기","한식-생고기/등심","(031) 239-7333","경기 수원시 팔달구 인계동 1123-18",3.9,"가족외식 , 어른과 함께라면 , 점심식사 , 송년/신년회 , 주차공간 , 구이 , 한우전문점 , 삼겹살 , 돼지생구이 , 소주 , 고기 보양식","/restaurant/restimg/001/zzmenuimg/h4927919_z.jpg","/restaurant/restimg/001/menuimg/h4927919.jpg,/restaurant/restimg/001/menuimg/h49279119.jpg,/restaurant/restimg/001/menuimg/h49279120.jpg,/restaurant/restimg/001/menuimg/h4927911.jpg,/restaurant/restimg/001/menuimg/h4927912.jpg,/restaurant/restimg/001/menuimg/h4927913.jpg,/restaurant/restimg/001/h492791a.jpg","12:00 ~ 22:00","40대, 주차방법: 무료, 주차장소: 전용/발렛파킹 가능","인계동 나혜석거리에 자리 잡은 생고기 구이 전문점이다. 소고기로는 한우 등심이, 돼지고기로는 가브리살, 갈매기살 등이 준비되어 있다. 소고기, 돼지고기와 김치, 쌀 모두 국내산 재료를 사용한다. 김치찌개의 맛이 좋기로 유명한 집이며 인근 주민들이 많이 찾는다고 한다.",0,"10,000 ~ 20,000원",0,0,0,2461012131617202223253031
25,"섬문어전복","한식-해물요리","(052) 257-9292","울산 남구 달동 1276-13",3.1,"가족외식 , 술 마시는 친구와 함께 , 포장 가능 , 회 , 전복&소라 , 동동주/막걸리 , 국물요리 , 해산물 보양식 , VJ특공대 , 울산 간절곶 해맞이축제 , 울산 옹기축제","/restaurant/restimg/008/zzmenuimg/h7023086_z.jpg","/restaurant/restimg/008/menuimg/h7023086.jpg,/restaurant/restimg/008/menuimg/h7023087.jpg,/restaurant/restimg/008/menuimg/h70230810.jpg,/restaurant/restimg/008/menuimg/h7023081.jpg,/restaurant/restimg/008/menuimg/h7023082.jpg,/restaurant/restimg/008/menuimg/h7023083.jpg,/restaurant/restimg/008/h702308a.jpg","12:00 ~ 01:00","30대, 주차방법: 무료, 주차장소: 전용","맛집 프로그램에 여러 번 소개되었던 섬문어전복은 남구 달동에 위치하고 있다. 매스컴이 인정한 섬문어전복은 이름 그대로 맛있는 문어, 전복 요리를 제공하는 곳이다. 거창한 양념 대신 신선한 재료로 맛을 더한 음식은 다른 집과 확실히 차이가 있다. 통문어숙회, 전복 문어전골, 전복구이 등 몸에 좋고 맛도 좋은 메뉴들은 소주와 함께 하면 최고의 안주가 된다. 5대 보양식으로 알려진 문어와 전복은 남녀노소 누구나 만족하는 맛을 자랑한다. 싱싱한 전복과 쫄깃한 문어! 섬문어전복에서 배 터지게 먹어보자.",1,"20,000 ~ 30,000원",0,0,0,679101113151819232426283031
26,"평가옥 양재점","한식","(02) 3462-1577","서울 서초구 양재2동 277-2",3.7,"가족외식 , 어른과 함께라면 , 술 못마시는 친구와 함께 , 전통 한국 음식(for 외국인) , 일상데이트 , 특별한 날엔 , 점심식사 , 접대 , 비오는날 , 더운날 , 냉면 , 몸보신 , 한식 면요리","/restaurant/restimg/000/zzmenuimg/h12049011_z.jpg","/restaurant/restimg/000/menuimg/h12049011.jpg,/restaurant/restimg/000/menuimg/h12049016.jpg,/restaurant/restimg/000/menuimg/h12049017.jpg,/restaurant/restimg/000/menuimg/h12049038.jpg,/restaurant/restimg/000/menuimg/h1204901.jpg,/restaurant/restimg/000/menuimg/h1204902.jpg,/restaurant/restimg/000/h120490a.jpg","10:00 ~ 22:00","3대, 주차방법: 무료, 주차장소: 업소앞","평양냉면을 먹고 싶은 당신이라면 주저하지 말고 방문하길 추천한다. 사실 냉면도 냉면이지만 3대째 내려오는 평가옥의 최고의 일미는 어복쟁반이다. 만두와 고기가 넉넉히 있고 고기를 다 건져먹으면 밑에는 갖가지 버섯과 배추, 떡국 떡이 보글보글 끓는다. 밑에는 진한 고기육수가 재료들과 어우러져 감칠맛을 배가시킨다. 고기와 만두, 육전을 다 먹으면 남은 육수에 냉면사리를 넣어 끓여먹거나 혹은 볶음밥을 추가해 먹을 수 있다.",0,"20,000 ~ 30,000원",0,0,0,367101819212425272930
